City,Country,Date,Lat,Long,Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Port Hedland,AU,1562334130,-20.31,118.58,68.0,94,0,6.93
Araouane,ML,1562334130,18.9,-3.53,109.69,13,5,5.55
Isla Vista,US,1562334131,34.41,-119.86,59.0,93,1,2.46
Fomboni,KM,1562334131,-12.28,43.74,77.47,76,0,11.56
Ahipara,NZ,1562334131,-35.17,173.16,56.59,62,3,17.9
Trinidad,BO,1562334023,-14.83,-64.9,67.03,54,45,8.16
Tabou,CI,1562334132,4.42,-7.36,77.83,76,100,6.91
Auburn Hills,US,1562334132,39.8,-75.69,82.0,83,90,5.5
Alice Springs,AU,1562333962,-23.7,133.88,50.0,50,0,10.2
Torbay,CA,1562334132,47.66,-52.73,54.0,93,90,13.87
Isangel,VU,1562334132,-19.55,169.27,75.13,75,68,17.11
Ixtapa,MX,1562334133,20.71,-105.21,82.0,83,90,2.19
Ternate,PH,1562334133,14.29,120.72,86.0,74,40,9.17
Baykit,RU,1562334133,61.68,96.39,70.09,58,100,2.51
Reconquista,AR,1562334133,-29.14,-59.64,49.57,46,0,8.32
Halifax,CA,1562333851,44.65,-63.58,91.0,54,40,4.7
Inhambane,MZ,1562334134,-23.87,35.38,69.73,53,0,5.14
Lola,GN,1562334134,7.8,-8.53,73.33,96,96,2.17
Novaya Ladoga,RU,1562334134,60.11,32.31,57.0,99,100,13.04
Poopo,BO,1562334134,-18.38,-66.97,32.0,15,0,3.36
Ponta Delgada,PT,1562334134,37.73,-25.67,69.8,56,75,9.17
Junagarh,IN,1562334135,19.86,82.94,77.11,89,100,7.4
Belyy Yar,RU,1562334135,53.6,91.39,75.2,60,0,6.71
Laguna,BZ,1562334135,16.17,-88.94,77.0,94,40,4.7
Dana Point,US,1562333939,33.47,-117.7,68.0,87,90,4.92
Broome,GB,1562334136,52.47,1.45,81.0,56,20,6.93
Waipawa,NZ,1562334136,-39.94,176.59,42.01,89,100,3.0
Mount Isa,AU,1562334136,-20.73,139.49,66.2,59,0,12.75
Rocha,UY,1562333349,-34.48,-54.34,42.71,85,100,17.49
Manyana,AU,1562334137,-35.26,150.51,60.01,100,75,4.7
Saint George,GR,1562334137,39.45,22.34,96.01,28,20,9.17
Senanga,ZM,1562334137,-16.1,23.3,82.15,15,0,7.27
Deputatskiy,RU,1562334137,69.3,139.9,42.91,89,48,2.86
Vila Franca do Campo,PT,1562334138,37.72,-25.43,69.8,56,75,9.17
Cabo San Lucas,MX,1562334037,22.89,-109.91,81.0,44,5,1.01
Plouzane,FR,1562334138,48.38,-4.62,84.2,51,0,8.05
Cururupu,BR,1562334138,-1.82,-44.87,88.45,57,7,5.95
Cape Town,ZA,1562333370,-33.93,18.42,64.0,55,0,9.17
Fairbanks,US,1562333988,64.84,-147.72,62.6,77,90,0.51
Taltal,CL,1562334139,-25.41,-70.49,56.59,69,37,4.99
Pangody,RU,1562334139,65.85,74.49,77.29,42,100,22.3
Carutapera,BR,1562334139,-1.2,-46.02,85.93,65,31,7.74
Norman Wells,CA,1562334140,65.28,-126.83,57.2,93,75,6.93
Vigrestad,NO,1562334140,58.57,5.7,57.99,62,20,14.99
Anqing,CN,1562334140,30.51,117.04,78.01,81,40,6.85
Burnie,AU,1562334141,-41.05,145.91,53.01,95,85,8.01
Yatou,CM,1562334141,3.63,9.81,78.8,100,75,3.36
Nome,US,1562334141,30.04,-94.42,84.99,94,1,5.82
Arraial do Cabo,BR,1562334142,-22.97,-42.02,75.2,88,75,4.7
Iki-Burul,RU,1562334142,45.82,44.65,86.0,19,0,11.18
Belaya Gora,RU,1562334142,68.54,146.19,46.69,88,45,9.69
Aykhal,RU,1562334142,65.95,111.51,50.0,81,90,8.95
Thabazimbi,ZA,1562334143,-24.59,27.41,75.0,17,0,1.01
Flinders,AU,1562334143,-34.58,150.85,60.01,100,75,4.7
Abidjan,CI,1562334143,5.32,-4.02,80.6,83,75,11.41
Ubinskoye,RU,1562334143,55.31,79.68,62.89,91,0,9.31
Abu Samrah,SY,1562334143,35.3,37.18,95.47,17,0,19.24
Buin,CL,1562334144,-33.73,-70.74,70.0,75,20,4.7
Zhangye,CN,1562334144,38.94,100.46,70.63,27,96,1.83
Pevek,RU,1562333625,69.7,170.27,48.49,73,42,20.56
Port Hardy,CA,1562334144,50.7,-127.42,50.0,93,75,2.24
Puerto del Rosario,ES,1562334145,28.5,-13.86,80.6,69,20,13.87
Kokopo,PG,1562334145,-4.34,152.27,68.65,95,100,2.59
Jumla,NP,1562334145,29.28,82.18,56.95,95,100,4.56
Luderitz,NA,1562334145,-26.65,15.16,68.0,56,0,16.11
Coquimbo,CL,1562334145,-29.95,-71.34,52.0,93,75,5.82
Pangnirtung,CA,1562334146,66.15,-65.72,41.0,80,75,12.75
Gweru,ZW,1562334146,-19.46,29.82,70.81,19,0,7.43
Pecos,US,1562334146,31.42,-103.49,77.0,69,1,6.93
Kulunda,RU,1562334046,52.57,78.94,70.45,60,66,5.88
Lufilufi,WS,1562334146,-13.87,-171.6,75.0,94,100,3.0
Hamilton,CA,1562333956,43.26,-79.87,86.0,88,20,8.05
Nyurba,RU,1562334147,63.29,118.35,51.01,96,29,7.2
Chifeng,CN,1562334147,42.27,118.96,60.19,82,100,7.74
Bereslavka,RU,1562334147,48.62,44.06,78.8,21,0,11.18
Kavieng,PG,1562334148,-2.57,150.8,82.87,73,96,8.05
Altay,CN,1562334148,47.83,88.13,54.43,59,0,7.45
Naze,NG,1562334148,5.43,7.07,73.87,94,100,5.41
Provideniya,RU,1562333351,64.42,-173.23,47.03,94,100,5.41
Clyde River,CA,1562334148,70.47,-68.59,35.6,93,90,6.93
Suchitlan,MX,1562334149,19.37,-103.72,69.8,88,90,6.73
Pasighat,IN,1562334149,28.06,95.33,73.51,90,100,1.97
Bereda,ES,1562334149,43.27,-7.54,81.0,82,40,9.17
Udachnyy,RU,1562334149,66.42,112.4,50.0,81,90,8.95
Georgetown,GY,1562333919,6.8,-58.16,82.4,88,75,4.7
Elizabeth City,US,1562334150,36.3,-76.22,84.2,74,75,4.9
Bar Harbor,US,1562334110,44.39,-68.2,87.01,64,1,5.82
Hokitika,NZ,1562334150,-42.72,170.96,43.63,55,16,3.98
Kangaatsiaq,GL,1562333624,68.31,-53.46,43.63,91,100,3.6
Sabang,PH,1562334150,13.8,121.11,73.51,94,86,0.76
Tiksi,RU,1562334151,71.64,128.87,35.89,95,100,6.55
Jalu,LY,1562334151,29.03,21.55,98.53,14,0,13.33
Rawson,AR,1562334151,-43.3,-65.11,38.95,58,0,12.41
Port-Gentil,GA,1562334151,-0.72,8.78,80.6,74,20,12.75
Inongo,CD,1562334152,-1.93,18.29,90.07,41,100,1.74
Westport,US,1562334152,41.14,-73.36,79.0,78,40,4.7
Mamallapuram,IN,1562334073,12.63,80.17,91.4,66,75,13.87
College,US,1562334152,64.86,-147.8,62.6,77,90,0.51
Gazli,UZ,1562334152,40.13,63.45,95.29,15,29,13.13
Rezina,MD,1562334153,47.75,28.95,78.55,45,90,8.41
Sitka,US,1562334153,37.17,-99.65,78.01,82,0,4.0
Sur,OM,1562334153,22.57,59.53,92.59,52,8,6.58
Lebu,ET,1562334153,8.96,38.73,65.59,77,72,1.28
Faanui,PF,1562334154,-16.48,-151.75,76.57,77,47,25.55
Taoudenni,ML,1562334154,22.68,-3.98,114.91,8,72,8.12
Saskylakh,RU,1562334154,71.97,114.09,41.65,77,100,10.92
Sabha,LY,1562334154,27.03,14.43,100.51,11,0,9.48
Price,US,1562333999,39.6,-110.81,57.99,48,0,0.67
Birobidzhan,RU,1562334155,48.79,132.93,58.03,96,50,1.41
Shigony,RU,1562334155,53.39,48.68,62.35,60,95,10.09
Kiama,AU,1562334155,-34.67,150.86,60.01,100,75,4.7
Matagami,NG,1562334155,9.67,8.4,78.01,84,100,1.45
Kingman,US,1562333904,35.19,-114.05,81.0,22,1,9.17
Bubaque,GW,1562334156,11.28,-15.83,80.35,84,100,11.79
Chapais,CA,1562334156,49.78,-74.86,75.2,64,40,8.05
Grodzisk Wielkopolski,PL,1562334156,52.23,16.36,69.01,72,75,13.87
Tuatapere,NZ,1562334156,-46.13,167.69,48.99,88,100,4.0
Soavinandriana,MG,1562334157,-19.17,46.74,65.05,58,53,2.33
San Ignacio,PE,1562334157,-5.15,-79.0,64.51,83,100,0.49
Ambon,FR,1562334157,47.55,-2.56,89.01,37,0,3.36
Angra dos Reis,BR,1562334157,-23.01,-44.32,69.8,88,90,9.17
The Valley,AI,1562334048,18.22,-63.06,86.0,69,40,16.11
Guacimo,CO,1562334158,8.09,-76.36,78.8,88,75,5.82
Riyadh,SA,1562334158,24.63,46.72,109.4,4,0,13.87
Nyaunglebin,MM,1562334158,17.95,96.73,73.51,97,100,4.16
Okha,RU,1562334158,53.59,142.95,48.49,89,100,18.28
Fort Nelson,CA,1562334158,58.81,-122.69,48.2,93,40,2.24
Ekuvukeni,ZA,1562334159,-28.47,30.16,57.85,41,0,7.92
Fukue,JP,1562334159,35.03,136.69,78.01,94,75,9.17
Zella-Mehlis,DE,1562334159,50.66,10.67,82.0,36,0,16.11
Baturaja,ID,1562334159,-4.12,104.17,72.43,98,6,2.66
Qaqortoq,GL,1562334159,60.72,-46.03,59.0,51,20,3.36
Sinnamary,GF,1562334160,5.38,-52.96,79.81,84,84,13.76
Kadarkut,HU,1562334160,46.24,17.62,84.2,51,40,5.82
Maralal,KE,1562334160,1.1,36.7,73.33,57,55,5.64
East London,ZA,1562334160,-33.02,27.91,66.2,52,20,9.17
Dzitbalche,MX,1562334160,20.32,-90.06,83.77,67,0,4.27
Carbondale,US,1562334161,38.82,-95.69,77.0,88,40,10.29
Lompoc,US,1562334106,34.64,-120.46,57.0,93,90,4.7
Kodiak,US,1562334161,39.95,-94.76,77.0,94,40,5.66
Tondon,GN,1562334161,10.37,-13.36,81.07,85,96,5.06
San Cristobal,HN,1562334161,14.68,-86.92,79.45,46,11,4.61
Lincoln,GB,1562334154,53.23,-0.54,75.99,60,40,6.93
Calama,CL,1562334162,-22.46,-68.93,44.6,20,0,25.28
Goundam,ML,1562334162,16.42,-3.66,105.19,22,81,8.3
Guider,CM,1562334162,9.93,13.94,73.4,94,20,16.11
Nantucket,US,1562334162,41.28,-70.1,77.0,100,90,6.93
Yeppoon,AU,1562334163,-23.13,150.74,64.4,77,90,10.29
Kalispell,US,1562334163,48.2,-114.32,55.99,76,90,11.41
Sijunjung,ID,1562334163,-0.69,100.95,68.11,94,95,1.36
Bonavista,CA,1562334163,48.65,-53.11,51.01,79,100,8.99
Sorong,ID,1562334163,-0.86,131.25,73.51,92,100,6.15
Barrow,AR,1562334164,-38.31,-60.23,41.83,69,15,14.83
Lima,PE,1562334164,-12.06,-77.04,62.6,88,90,5.82
Sao Filipe,CV,1562334164,14.9,-24.5,73.15,85,0,21.81
Kununurra,AU,1562334164,-15.77,128.74,55.4,62,0,3.2
Blythe,US,1562334165,33.61,-114.59,80.01,31,1,6.93
Atar,MR,1562334165,20.52,-13.05,114.19,7,0,13.96
Talnakh,RU,1562334165,69.49,88.39,55.4,62,0,33.55
Auki,NG,1562334165,12.18,6.51,88.63,46,100,1.72
Manbij,SY,1562334166,36.53,37.96,96.8,34,40,8.05
Stavern,NO,1562334166,59.0,10.03,69.01,36,0,14.99
Dejen,ET,1562334166,10.16,38.15,80.71,55,1,3.22
Mouila,GA,1562334166,-1.86,11.06,82.51,58,99,4.68
Monterey,US,1562334099,36.6,-121.89,57.0,87,90,5.82
Aklavik,CA,1562334167,68.22,-135.01,57.2,76,75,9.17
Kyzyl-Suu,KG,1562334167,42.34,78.0,67.57,72,0,0.56
San Jose,HN,1562333912,14.25,-87.96,69.8,100,1,4.7
Saint-Pierre,FR,1562334167,48.95,4.24,87.01,24,0,5.82
Kandrian,PG,1562334167,-6.21,149.55,73.69,93,100,4.59
Yulara,AU,1562334168,-25.24,130.99,46.4,36,0,3.36
Port Blair,IN,1562334168,11.67,92.75,83.95,81,100,20.31
Vestmannaeyjar,IS,1562334168,63.44,-20.27,60.8,59,0,14.99
Annau,TM,1562334169,37.89,58.52,100.4,17,0,4.7
Zambezi,ZM,1562334169,-13.55,23.12,82.33,22,0,6.64
Plettenberg Bay,ZA,1562334169,-34.05,23.37,54.07,69,0,3.51
Margate,AU,1562334169,-43.03,147.26,41.0,93,20,3.33
Kloulklubed,PW,1562334121,7.04,134.26,77.0,94,75,7.02
Dingle,PH,1562334170,11.0,122.67,74.77,88,99,2.08
Gao,ML,1562334170,16.28,-0.04,103.57,25,57,16.62
Albanel,CA,1562334170,48.88,-72.44,80.6,57,20,10.29
मलिम ६६७,NP,1562334170,26.88,88.04,65.95,94,97,3.65
Gladstone,AU,1562334171,-23.84,151.26,64.4,77,90,12.75
Samarai,PG,1562334171,-10.62,150.67,72.97,93,48,4.52
Bilma,NE,1562334171,18.69,12.92,100.69,19,98,9.89
Canatlan,MX,1562334171,24.52,-104.78,60.01,72,75,3.36
Batagay,RU,1562334171,67.65,134.64,48.31,59,38,3.65
Bandarbeyla,SO,1562334171,9.49,50.81,95.11,30,100,21.07
Ischia,IT,1562334172,46.03,11.25,93.0,48,20,4.7
Kutahya,TR,1562334172,39.42,29.98,86.0,35,40,13.87
Steamboat Springs,US,1562333886,40.48,-106.83,51.8,87,1,2.24
Tarauaca,BR,1562333917,-8.16,-70.77,88.09,54,30,2.15
Egvekinot,RU,1562334172,66.32,-179.17,44.17,94,99,14.27
Nenjiang,CN,1562334173,49.17,125.23,54.61,97,100,7.72
Kapit,MY,1562334173,2.02,112.94,72.97,82,0,1.48
Ilulissat,GL,1562334173,69.22,-51.1,48.2,61,75,4.7
Otavi,NA,1562334173,-19.64,17.34,80.89,5,0,10.63
Tambovka,RU,1562334174,47.32,47.38,81.79,31,32,13.8
Vanavara,RU,1562334174,60.35,102.28,68.83,44,99,4.79
Hovd,NO,1562334174,63.83,10.7,52.0,87,75,19.46
Wadowice,PL,1562334174,49.88,19.49,73.99,31,0,17.22
Totskoye,RU,1562334174,52.53,52.75,64.87,60,63,9.24
Kenai,US,1562334175,60.55,-151.26,57.0,87,1,8.05
Muzhi,RU,1562334175,65.4,64.7,75.49,63,86,5.19
Yangjiang,CN,1562334175,21.85,111.96,77.29,95,99,2.15
Viedma,AR,1562334175,-40.81,-62.99,42.73,58,0,9.93
Klaksvik,FO,1562334175,62.23,-6.59,51.8,76,73,9.17
Tyukalinsk,RU,1562334176,55.87,72.2,65.23,89,54,11.32
Cap Malheureux,MU,1562334176,-19.98,57.61,73.99,69,40,5.82
Thompson,CA,1562333622,55.74,-97.86,51.8,81,75,6.93
Corner Brook,CA,1562334176,48.95,-57.95,62.6,67,40,6.93
Salinas,US,1562334157,36.67,-121.66,57.99,93,90,2.73
Antalya,TR,1562334176,36.9,30.69,99.0,29,20,12.75
Namibe,AO,1562334177,-15.19,12.15,73.15,67,0,9.31
San Jeronimo,PE,1562334177,-13.65,-73.37,42.8,45,40,6.11
Magnolia,US,1562334177,33.27,-93.24,80.01,78,13,5.17
Alcazar de San Juan,ES,1562334141,39.39,-3.21,97.0,21,0,6.93
Vao,EE,1562334177,59.1,26.19,53.89,89,28,9.04
Kudahuvadhoo,MV,1562334178,2.67,72.89,83.95,75,92,8.21
Hluti,SZ,1562334178,-27.22,31.62,59.29,64,0,7.96
Kaitangata,NZ,1562334178,-46.28,169.85,44.53,87,100,8.97
Harper,US,1562334178,30.3,-99.24,77.0,88,90,10.29
Yinchuan,CN,1562334178,38.48,106.21,70.0,34,0,3.0
Souillac,FR,1562334179,45.6,-0.6,95.0,36,0,6.93
Chapleau,CA,1562334179,47.85,-83.4,64.4,100,75,6.93
Biak,ID,1562334179,-0.91,122.88,63.79,98,97,4.05
Ambulu,ID,1562334179,-8.35,113.61,76.39,83,88,21.94
Blytheville,US,1562334005,35.93,-89.92,80.6,69,75,8.05
Ayan,IR,1562334180,38.23,44.7,69.37,33,61,9.17
Kinlochleven,GB,1562334180,56.71,-4.97,57.2,93,90,12.75
Road Town,VG,1562334180,18.42,-64.62,84.99,78,40,12.75
Sorland,NO,1562334180,67.67,12.69,51.8,71,75,8.05
Saint-Philippe,CA,1562334181,45.36,-73.48,82.99,88,90,2.24
La Ronge,CA,1562334181,55.1,-105.3,53.6,81,20,3.36
Dhidhdhoo,MV,1562334181,6.88,73.1,83.95,78,66,13.6
Mabaruma,GY,1562334181,8.2,-59.78,82.33,83,57,5.14
Cherskiy,RU,1562334182,68.75,161.3,55.69,85,83,6.96
Conceicao do Araguaia,BR,1562333898,-8.26,-49.26,96.37,35,0,3.04
Selma,US,1562333967,32.41,-87.02,86.0,74,50,6.49
Osakarovka,KZ,1562334182,50.56,72.58,70.09,47,63,5.46
Luganville,VU,1562334182,-15.51,167.18,69.37,95,100,3.49
Sibolga,ID,1562334179,1.74,98.78,84.49,70,75,4.74
Lasa,CY,1562334183,34.92,32.53,86.0,70,20,13.87
Milkovo,BG,1562334183,41.53,24.68,84.2,51,93,3.36
Soto la Marina,MX,1562334183,23.77,-98.21,87.73,42,83,9.17
Port Hueneme,US,1562334183,34.15,-119.2,62.01,100,90,3.36
Moose Factory,CA,1562334184,51.26,-80.61,64.4,93,90,8.05
Tallahassee,US,1562333977,30.44,-84.28,82.99,94,90,3.91
Khandyga,RU,1562334184,62.65,135.58,51.37,58,67,6.53
Sao Felix do Xingu,BR,1562334184,-6.64,-51.99,91.87,46,0,2.84
Mindelo,PT,1562334184,41.31,-8.72,77.0,77,20,6.93
Forestville,CA,1562334184,48.74,-69.09,73.4,73,75,5.82
Tiznit,MA,1562334185,29.7,-9.73,68.11,84,1,11.25
Portales,US,1562334177,34.19,-103.33,69.8,88,1,11.63
Leshukonskoye,RU,1562334185,64.9,45.76,61.81,80,76,5.08
Gat,SN,1562334185,14.69,-16.54,80.6,65,20,11.41
Cuamba,MZ,1562334186,-14.8,36.54,74.05,36,0,1.34
Ola,RU,1562334186,59.58,151.3,45.43,95,79,6.87
Glencoe,CA,1562334186,42.75,-81.71,89.01,83,1,4.7
Jimeta,NG,1562334186,9.28,12.44,90.25,56,54,7.02
Buchmany,UA,1562334187,51.07,28.04,60.19,79,100,8.08
Esmeraldas,BR,1562334187,-19.76,-44.31,77.0,50,0,8.05
Parrita,CR,1562334187,9.52,-84.33,71.6,60,0,10.29
Pisco,PE,1562334187,-13.71,-76.2,71.6,30,90,4.7
Havelock,US,1562334063,34.88,-76.9,84.0,83,1,3.36
Vila Velha,BR,1562334187,-3.71,-38.6,86.0,66,75,16.11
Constitucion,MX,1562334188,23.99,-104.67,60.01,72,75,3.36
Bolobo,CD,1562334188,-2.17,16.23,95.83,28,98,3.62
Drakino,RU,1562334188,54.04,43.26,64.15,65,6,10.36
Arman,RU,1562334188,59.7,150.17,42.55,98,100,2.26
Mehamn,NO,1562334189,71.03,27.85,46.4,93,75,9.17
Vega de Alatorre,MX,1562334189,20.03,-96.65,83.05,44,25,1.77
Aleksandrov Gay,RU,1562334189,50.14,48.57,72.61,36,44,13.24
Olinda,AU,1562334189,-37.84,145.39,51.01,93,0,5.82
Doraha,IN,1562334189,30.8,76.04,101.59,22,18,6.31
Salina,US,1562334190,38.84,-97.61,80.01,83,1,11.41
Nieuw Nickerie,SR,1562334190,5.94,-56.99,80.89,82,23,9.62
Carballo,ES,1562334190,43.21,-8.69,73.99,82,40,9.17
Anadyr,RU,1562334190,64.73,177.51,46.4,93,40,31.32
Semey,KZ,1562334190,50.41,80.25,86.0,27,0,11.18
Airai,TL,1562334191,-8.93,125.41,65.59,78,0,6.02
